Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
77,An Imitation Learning Approach for Cache Replacement,,Evan Liu;Milad Hashemi;Kevin Swersky;Parthasarathy Ranganathan;Junwhan Ahn;,Stanford University;Google;,Poster,,http://proceedings.mlr.press/v119/liu20f/liu20f.pdf
78,An Investigation of Why Overparameterization Exacerbates Spurious Correlations,,Shiori Sagawa;Aditi Raghunathan;Pang Wei Koh;Percy Liang;,Stanford University;,Poster,,http://proceedings.mlr.press/v119/sagawa20a/sagawa20a.pdf
79,An Optimistic Perspective on Offline Reinforcement Learning,,Rishabh Agarwal;Dale Schuurmans;Mohammad Norouzi;,Google;University of Alberta;,Poster,,http://proceedings.mlr.press/v119/agarwal20c/agarwal20c.pdf
80,Analytic Marching: An Analytic Meshing Solution from Deep Implicit Surface Networks,,Jiabao Lei;Kui Jia;,South China University of Technology;Pazhou Lab;,Poster,,http://proceedings.mlr.press/v119/lei20a/lei20a.pdf
81,Anderson Acceleration of Proximal Gradient Methods,,Vien Mai;Mikael Johansson;,KTH Royal Institute of Technology;,Poster,,http://proceedings.mlr.press/v119/mai20a/mai20a.pdf
82,Angular Visual Hardness,,Beidi Chen;Weiyang Liu;Zhiding Yu;Jan Kautz;Anshumali Shrivastava;Animesh Garg;Animashree Anandkumar;,Rice University;Georgia Institute of Technology;NVIDIA;University of Toronto;Vector Institute;California Institute of Technology;,Poster,,http://proceedings.mlr.press/v119/chen20n/chen20n.pdf
83,Approximating Stacked and Bidirectional Recurrent Architectures with the Delayed Recurrent Neural Network,,Javier Turek;Shailee Jain;Vy Vo;Mihai Capotă;Alexander Huth;Theodore Willke;,Intel;University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v119/turek20a/turek20a.pdf
84,Approximation Capabilities of Neural ODEs and Invertible Residual Networks,,Han Zhang;Xi Gao;Jacob Unterman;Tom Arodz;,Virginia Commonwealth University;,Poster,,http://proceedings.mlr.press/v119/zhang20h/zhang20h.pdf
85,Approximation Guarantees of Local Search Algorithms via Localizability of Set Functions,,Kaito Fujii;,National Institute of Informatics;,Poster,,http://proceedings.mlr.press/v119/fujii20a/fujii20a.pdf
86,AR-DAE: Towards Unbiased Neural Entropy Gradient Estimation,,Jae Hyun Lim;Aaron Courville;Christopher Pal;Chin-Wei Huang;,Mila;Université de Montréal;Canadian Institute for Advanced Research;Polytechnique Montréal;,Poster,,http://proceedings.mlr.press/v119/lim20a/lim20a.pdf
87,Associative Memory in Iterated Overparameterized Sigmoid Autoencoders,,Yibo Jiang;Cengiz Pehlevan;,Harvard University;,Poster,,http://proceedings.mlr.press/v119/jiang20e/jiang20e.pdf
88,Asynchronous Coagent Networks,,James Kostas;Chris Nota;Philip Thomas;,University of Massachusetts Amherst;,Poster,,http://proceedings.mlr.press/v119/kostas20a/kostas20a.pdf
89,Attacks Which Do Not Kill Training Make Adversarial Learning Stronger,,Jingfeng Zhang;Xilie Xu;Bo Han;Gang Niu;Lizhen Cui;Masashi Sugiyama;Mohan Kankanhalli;,National University of Singapore;RIKEN Center for Advanced Intelligence Project;Shandong University;Hong Kong Baptist University;University of Tokyo;,Poster,,http://proceedings.mlr.press/v119/zhang20z/zhang20z.pdf
90,Attentive Group Equivariant Convolutional Networks,,David Romero;Erik Bekkers;Jakub Tomczak;Mark Hoogendoorn;,Vrije Universiteit Amsterdam;University of Amsterdam;,Poster,,http://proceedings.mlr.press/v119/romero20a/romero20a.pdf
91,AutoGAN-Distiller: Searching to Compress Generative Adversarial Networks,,Yonggan Fu;Wuyang Chen;Haotao Wang;Haoran Li;Yingyan Lin;Zhangyang Wang;,Rice University;Texas A&M University;,Poster,,http://proceedings.mlr.press/v119/fu20b/fu20b.pdf
92,Automated Synthetic-to-Real Generalization,,Wuyang Chen;Zhiding Yu;Zhangyang Wang;Animashree Anandkumar;,Texas A&M University;NVIDIA;California Institute of Technology;,Poster,,http://proceedings.mlr.press/v119/chen20x/chen20x.pdf
93,Automatic Reparameterisation of Probabilistic Programs,,Maria Gorinova;Dave Moore;Matthew Hoffman;,University of Edinburgh;Google;,Poster,,http://proceedings.mlr.press/v119/gorinova20a/gorinova20a.pdf
94,Automatic Shortcut Removal for Self-Supervised Representation Learning,,Matthias Minderer;Olivier Bachem;Neil Houlsby;Michael Tschannen;,Google;,Poster,,http://proceedings.mlr.press/v119/minderer20a/minderer20a.pdf
95,AutoML-Zero: Evolving Machine Learning Algorithms From Scratch,,Esteban Real;Chen Liang;David So;Quoc Le;,Google;,Poster,,http://proceedings.mlr.press/v119/real20a/real20a.pdf
96,Balancing Competing Objectives with Noisy Data: Score-Based Classifiers for Welfare-Aware Machine Learning,,Esther Rolf;Max Simchowitz;Sarah Dean;Lydia T. Liu;Daniel Bjorkegren;Moritz Hardt;Joshua Blumenstock;,,Poster,,http://proceedings.mlr.press/v119/rolf20a/rolf20a.pdf
97,Bandits for BMO Functions,,Tianyu Wang;Cynthia Rudin;,Duke University;,Poster,,http://proceedings.mlr.press/v119/wang20q/wang20q.pdf
98,Bandits with Adversarial Scaling,,Thodoris Lykouris;Vahab Mirrokni;Renato Paes Leme;,Microsoft;Google;,Poster,,http://proceedings.mlr.press/v119/lykouris20a/lykouris20a.pdf
99,Batch Reinforcement Learning with Hyperparameter Gradients,,Byungjun Lee;Jongmin Lee;Peter Vrancx;Dongho Kim;Kee-Eung Kim;,KAIST;PROWLER.io;,Poster,,http://proceedings.mlr.press/v119/lee20d/lee20d.pdf
100,Batch Stationary Distribution Estimation,,Junfeng Wen;Bo Dai;Lihong Li;Dale Schuurmans;,University of Alberta;Google;,Poster,,http://proceedings.mlr.press/v119/wen20a/wen20a.pdf
101,Bayesian Differential Privacy for Machine Learning,,Aleksei Triastcyn;Boi Faltings;,EPFL;,Poster,,http://proceedings.mlr.press/v119/triastcyn20a/triastcyn20a.pdf
102,Bayesian Experimental Design for Implicit Models by Mutual Information Neural Estimation,,Steven Kleinegesse;Michael U. Gutmann;,University of Edinburgh;,Poster,,http://proceedings.mlr.press/v119/kleinegesse20a/kleinegesse20a.pdf
103,Bayesian Graph Neural Networks with Adaptive Connection Sampling,,Arman Hasanzadeh;Ehsan Hajiramezanali;Shahin Boluki;Mingyuan Zhou;Nick Duffield;Krishna Narayanan;Xiaoning Qian;,Texas A&M University;University of Texas at Austin;,Poster,,http://proceedings.mlr.press/v119/hasanzadeh20a/hasanzadeh20a.pdf
104,Bayesian Learning from Sequential Data using Gaussian Processes with Signature Covariances,,Csaba Toth;Harald Oberhauser;,University of Oxford;,Poster,,http://proceedings.mlr.press/v119/toth20a/toth20a.pdf
105,Bayesian Optimisation over Multiple Continuous and Categorical Inputs,,Binxin Ru;Ahsan Alvi;Vu Nguyen;Michael A. Osborne;Stephen Roberts;,University of Oxford;,Poster,,http://proceedings.mlr.press/v119/ru20a/ru20a.pdf
106,Bayesian Sparsification of Deep C-valued Networks,,Ivan Nazarov;Evgeny Burnaev;,,Poster,,http://proceedings.mlr.press/v119/nazarov20a/nazarov20a.pdf
107,Being Bayesian about Categorical Probability,,Taejong Joo;Uijung Chung;Min-Gwan Seo;,ESTsoft;,Poster,,http://proceedings.mlr.press/v119/joo20a/joo20a.pdf
108,"Being Bayesian, Even Just a Bit, Fixes Overconfidence in ReLU Networks",,Agustinus Kristiadi;Matthias Hein;Philipp Hennig;,University of Tübingen;Max Planck Institute for Intelligent Systems;,Poster,,http://proceedings.mlr.press/v119/kristiadi20a/kristiadi20a.pdf
109,Best Arm Identification for Cascading Bandits in the Fixed Confidence Setting,,Zixin Zhong;Wang Chi Cheung;Vincent Tan;,National University of Singapore;,Poster,,http://proceedings.mlr.press/v119/zhong20a/zhong20a.pdf
110,Better depth-width trade-offs for neural networks through the lens of dynamical systems,,Vaggos Chatziafratis;Sai Ganesh Nagarajan;Ioannis Panageas;,Stanford University;Singapore University of Technology and Design;,Poster,,http://proceedings.mlr.press/v119/chatziafratis20a/chatziafratis20a.pdf
111,Beyond Signal Propagation: Is Feature Diversity Necessary in Deep Neural Network Initialization?,,Yaniv Blumenfeld;Dar Gilboa;Daniel Soudry;,Technion - Israel Institute of Technology;Columbia University;,Poster,,http://proceedings.mlr.press/v119/blumenfeld20a/blumenfeld20a.pdf
112,Beyond Synthetic Noise: Deep Learning on Controlled Noisy Labels,,Lu Jiang;Di Huang;Mason Liu;Weilong Yang;,Google;Cornell University;,Poster,,http://proceedings.mlr.press/v119/jiang20c/jiang20c.pdf
113,Beyond UCB: Optimal and Efficient Contextual Bandits with Regression Oracles,,Dylan Foster;Alexander Rakhlin;,Massachusetts Institute of Technology;,Poster,,http://proceedings.mlr.press/v119/foster20a/foster20a.pdf
114,Bidirectional Model-based Policy Optimization,,Hang Lai;Jian Shen;Weinan Zhang;Yong Yu;,Shanghai Jiao Tong University;,Poster,,http://proceedings.mlr.press/v119/lai20b/lai20b.pdf
