Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1156,The Low-Resource Double Bind: An Empirical Study of Pruning for Low-Resource Machine Translation,,Orevaoghene Ahia;Julia Kreutzer;Sara Hooker;,Masakhane;Google;,South Africa;United States;,finding,https://aclanthology.org/2021.findings-emnlp.282/,https://aclanthology.org/2021.findings-emnlp.282.pdf,,
1157,The Perils of Using Mechanical Turk to Evaluate Open-Ended Text Generation,,Marzena Karpinska;Nader Akoury;Mohit Iyyer;,University of Massachusetts Amherst;,United States;,Main,https://aclanthology.org/2021.emnlp-main.97/,https://aclanthology.org/2021.emnlp-main.97.pdf,,
1158,The Power of Scale for Parameter-Efficient Prompt Tuning,,Brian Lester;Rami Al-Rfou;Noah Constant;,Google;,United States;,Main,https://aclanthology.org/2021.emnlp-main.243/,https://aclanthology.org/2021.emnlp-main.243.pdf,,
1159,The Stem Cell Hypothesis: Dilemma behind Multi-Task Learning with Transformer Encoders,,Han He;Jinho D. Choi;,Emory University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.451/,https://aclanthology.org/2021.emnlp-main.451.pdf,,
1160,The Topic Confusion Task: A Novel Evaluation Scenario for Authorship Attribution,,Malik Altakrori;Jackie Chi Kit Cheung;Benjamin C. M. Fung;,McGill University;,Canada;,finding,https://aclanthology.org/2021.findings-emnlp.359/,https://aclanthology.org/2021.findings-emnlp.359.pdf,,
1161,The World of an Octopus: How Reporting Bias Influences a Language Model’s Perception of Color,,Cory Paik;Stéphane Aroca-Ouellette;Alessandro Roncone;Katharina Kann;,University of Colorado;,United States;,Main,https://aclanthology.org/2021.emnlp-main.63/,https://aclanthology.org/2021.emnlp-main.63.pdf,,
1162,Thermostat: A Large Collection of NLP Model Explanations and Analysis Tools,,Nils Feldhus;Robert Schwarzenberg;Sebastian Möller;,,,System Demonstrations,https://aclanthology.org/2021.emnlp-demo.11/,https://aclanthology.org/2021.emnlp-demo.11.pdf,,
1163,Think about it! Improving defeasible reasoning by first modeling the question scenario.,,Aman Madaan;Niket Tandon;Dheeraj Rajagopal;Peter Clark;Yiming Yang;Eduard Hovy;,,,Main,https://aclanthology.org/2021.emnlp-main.508/,https://aclanthology.org/2021.emnlp-main.508.pdf,,
1164,"Thinking Clearly, Talking Fast: Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",,Yicheng Zou;Zhihua Liu;Xingwu Hu;Qi Zhang;,Fudan University;,China;,Main,https://aclanthology.org/2021.emnlp-main.169/,https://aclanthology.org/2021.emnlp-main.169.pdf,,
1165,TIAGE: A Benchmark for Topic-Shift Aware Dialog Modeling,,Huiyuan Xie;Zhenghao Liu;Chenyan Xiong;Zhiyuan Liu;Ann Copestake;,University of Cambridge;Northeastern University;Microsoft;Tsinghua University;,United Kingdom;China;United States;,finding,https://aclanthology.org/2021.findings-emnlp.145/,https://aclanthology.org/2021.findings-emnlp.145.pdf,,
1166,Tiered Reasoning for Intuitive Physics: Toward Verifiable Commonsense Language Understanding,,Shane Storks;Qiaozi Gao;Yichi Zhang;Joyce Chai;,University of Michigan;Michigan State University;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.422/,https://aclanthology.org/2021.findings-emnlp.422.pdf,,
1167,Time-aware Graph Neural Network for Entity Alignment between Temporal Knowledge Graphs,,Chengjin Xu;Fenglong Su;Jens Lehmann;,University of Bonn;National University of Defense Technology;,Germany;China;,Main,https://aclanthology.org/2021.emnlp-main.709/,https://aclanthology.org/2021.emnlp-main.709.pdf,,
1168,Time-dependent Entity Embedding is not All You Need: A Re-evaluation of Temporal Knowledge Graph Completion Models under a Unified Framework,,Zhen Han;Gengyuan Zhang;Yunpu Ma;Volker Tresp;,LMU Munich;Siemens AG;,Germany;,Main,https://aclanthology.org/2021.emnlp-main.639/,https://aclanthology.org/2021.emnlp-main.639.pdf,,
1169,Timeline Summarization based on Event Graph Compression via Time-Aware Optimal Transport,,Manling Li;Tengfei Ma;Mo Yu;Lingfei Wu;Tian Gao;Heng Ji;Kathleen McKeown;,University of Illinois Urbana-Champaign;IBM;JD.com;Columbia University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.519/,https://aclanthology.org/2021.emnlp-main.519.pdf,,
1170,TimeTraveler: Reinforcement Learning for Temporal Knowledge Graph Forecasting,,Haohai Sun;Jialun Zhong;Yunpu Ma;Zhen Han;Kun He;,Huazhong University of Science and Technology;LMU Munich;Siemens AG;,China;Germany;,Main,https://aclanthology.org/2021.emnlp-main.655/,https://aclanthology.org/2021.emnlp-main.655.pdf,,
1171,To be Closer: Learning to Link up Aspects with Opinions,,Yuxiang Zhou;Lejian Liao;Yang Gao;Zhanming Jie;Wei Lu;,Beijing Institute of Technology;Singapore University of Technology and Design;ByteDance;,China;Singapore;,Main,https://aclanthology.org/2021.emnlp-main.317/,https://aclanthology.org/2021.emnlp-main.317.pdf,,
1172,To Protect and To Serve? Analyzing Entity-Centric Framing of Police Violence,,Caleb Ziems;Diyi Yang;,Georgia Institute of Technology;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.82/,https://aclanthology.org/2021.findings-emnlp.82.pdf,,
1173,To Share or not to Share: Predicting Sets of Sources for Model Transfer Learning,,Lukas Lange;Jannik Strötgen;Heike Adel;Dietrich Klakow;,Bosch Center for Artificial Intelligence;Saarland University;Saarbrücken Graduate School of Computer Science;,Germany;,Main,https://aclanthology.org/2021.emnlp-main.689/,https://aclanthology.org/2021.emnlp-main.689.pdf,,
1174,Token-wise Curriculum Learning for Neural Machine Translation,,Chen Liang;Haoming Jiang;Xiaodong Liu;Pengcheng He;Weizhu Chen;Jianfeng Gao;Tuo Zhao;,Georgia Institute of Technology;Microsoft;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.310/,https://aclanthology.org/2021.findings-emnlp.310.pdf,,
1175,Topic Transferable Table Question Answering,,Saneem Chemmengath;Vishwajeet Kumar;Samarth Bharadwaj;Jaydeep Sen;Mustafa Canim;Soumen Chakrabarti;Alfio Gliozzo;Karthik Sankaranarayanan;,IBM;Indian Institute of Technology Bombay;,United States;India;,Main,https://aclanthology.org/2021.emnlp-main.342/,https://aclanthology.org/2021.emnlp-main.342.pdf,,
