Index,Title,Authors,Affiliation,Status,Link
63,Best Arm Identification: A Unified Approach to Fixed Budget and Fixed Confidence,"Victor Gabillon, Mohammad Ghavamzadeh, Alessandro Lazaric",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/8b0d268963dd0cfb808aac48a549829f-Abstract.html
64,"Burn-in, bias, and the rationality of anchoring","Falk Lieder, Tom Griffiths, Noah Goodman",Stanford University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/81e5f81db77c596492e6f1a5a792ed53-Abstract.html
65,Calibrated Elastic Regularization in Matrix Completion,"Tingni Sun, Cun-hui Zhang",University of Pennsylvania; Rutgers University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/e46de7e1bcaaced9a54f1e9d0d2f800d-Abstract.html
66,Cardinality Restricted Boltzmann Machines,"Kevin Swersky, Ilya Sutskever, Daniel Tarlow, Richard S. Zemel, Ruslan Salakhutdinov, Ryan P. Adams",University of Toronto; Harvard University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/99adff456950dd9629a5260c4de21858-Abstract.html
67,Causal discovery with scale-mixture model for spatiotemporal variance dependencies,"Zhitang Chen, Kun Zhang, Laiwan Chan",Chinese University of Hong Kong; Max Planck Institute for Intelligent Systems,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/4d5b995358e7798bc7e9d9db83c612a5-Abstract.html
68,Classification Calibration Dimension for General Multiclass Losses,"Harish G. Ramaswamy, Shivani Agarwal",Indian Institute of Science,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/24146db4eb48c718b84cae0a0799dcfc-Abstract.html
69,Clustering Aggregation as Maximum-Weight Independent Set,"Nan Li, Longin J. Latecki",Temple University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/01386bd6d8e091c2ab4c7c7de644d37b-Abstract.html
70,Clustering by Nonnegative Matrix Factorization Using Graph Random Walk,"Zhirong Yang, Tele Hao, Onur Dikmen, Xi Chen, Erkki Oja",Aalto University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/ba2fd310dcaa8781a9a652a31baf3c68-Abstract.html
71,Clustering Sparse Graphs,"Yudong Chen, Sujay Sanghavi, Huan Xu",University of Texas at Austin; National University of Singapore,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1e6e0a04d20f50967c64dac2d639a577-Abstract.html
72,Co-Regularized Hashing for Multimodal Data,"Yi Zhen, Dit-Yan Yeung",Hong Kong University of Science and Technology,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/5c04925674920eb58467fb52ce4ef728-Abstract.html
