Index,Title,Authors,Affiliation,Status,Link
98,Adaptive Graph Convolutional Recurrent Network for Traffic Forecasting,"LEI BAI, Lina Yao, Can Li, Xianzhi Wang, Can Wang",University of New South Wales; University of Technology Sydney; Griffith University,Poster,https://nips.cc/virtual/2020/poster/18209
99,Adaptive Importance Sampling for Finite-Sum Optimization and Sampling with Decreasing Step-Sizes,"Ayoub El Hanchi, David Stephens",McGill University,Poster,https://nips.cc/virtual/2020/poster/17978
100,Adaptive Learned Bloom Filter (Ada-BF): Efficient Utilization of the Classifier with Application to Real-Time Information Filtering on the Web,"Zhenwei Dai, Anshumali Shrivastava",Rice University,Poster,https://nips.cc/virtual/2020/poster/18811
101,Adaptive Learning of Rank-One Models for Efficient Pairwise Sequence Alignment,"Govinda Kamath, Tavor Baharav, Ilan Shomorony","Microsoft; Stanford University; University of Illinois, Urbana-Champaign",Poster,https://nips.cc/virtual/2020/poster/18907
102,Adaptive Online Estimation of Piecewise Polynomial Trends,"Dheeraj Baby, Yu-Xiang Wang","University of California, Santa Barbara",Poster,https://nips.cc/virtual/2020/poster/17028
103,Adaptive Probing Policies for Shortest Path Routing,"Aditya Bhaskara, Sreenivas Gollapudi, Kostas Kollias, Kamesh Munagala",University of Utah; Google; Duke University,Poster,https://nips.cc/virtual/2020/poster/17997
104,Adaptive Reduced Rank Regression,"Qiong Wu, Felix MF Wong, Yanhua Li, Zhenming Liu, Varun Kanade",College of William & Mary; Independent Researcher; Worcester Polytechnic Institute; University of Oxford,Poster,https://nips.cc/virtual/2020/poster/17069
105,Adaptive Sampling for Stochastic Risk-Averse Learning,"Sebastian Curi, Kfir Y. Levy, Stefanie Jegelka, Andreas Krause",ETH Zurich; Technion; Massachusetts Institute of Technology,Poster,https://nips.cc/virtual/2020/poster/17364
106,Adaptive Shrinkage Estimation for Streaming Graphs,"Nesreen Ahmed, Nick Duffield",Intel; Texas A&M University,Poster,https://nips.cc/virtual/2020/poster/18952
107,AdaShare: Learning What To Share For Efficient Deep Multi-Task Learning,"Ximeng Sun, Rameswar Panda, Rogerio Feris, Kate Saenko",Boston University; IBM,Poster,https://nips.cc/virtual/2020/poster/17824
108,AdaTune: Adaptive Tensor Program Compilation Made Efficient,"Menghao Li, Minjia Zhang, Chi Wang, Mingqin Li",Microsoft,Poster,https://nips.cc/virtual/2020/poster/16946
109,"Advances in Black-Box VI: Normalizing Flows, Importance Weighting, and Optimization","Abhinav Agrawal, Daniel R. Sheldon, Justin Domke",University of Massachusetts Amherst; Mount Holyoke College,Poster,https://nips.cc/virtual/2020/poster/17349
110,Adversarial Attacks on Deep Graph Matching,"Zijie Zhang, Zeru Zhang, Yang Zhou, Yelong Shen, Ruoming Jin, Dejing Dou",,Poster,https://nips.cc/virtual/2020/poster/19008
111,Adversarial Attacks on Linear Contextual Bandits,"Evrard Garcelon, Baptiste Roziere, Laurent Meunier, Jean Tarbouriech, Olivier Teytaud, Alessandro Lazaric, Matteo Pirotta",Meta,Poster,https://nips.cc/virtual/2020/poster/17175
112,Adversarial Bandits with Corruptions,"Lin Yang, Mohammad Hajiesmaili, Mohammad Sadegh Talebi, John C. S. Lui, Wing Shing Wong",,Poster,https://nips.cc/virtual/2020/poster/17027
113,Adversarial Blocking Bandits,"Nicholas Bishop, Hau Chan, Debmalya Mandal, Long Tran-Thanh",University of Southampton; University of Nebraska-Lincoln; Columbia University; University of Warwick,Poster,https://nips.cc/virtual/2020/poster/18102
114,Adversarial Counterfactual Learning and Evaluation for Recommender System,"Da Xu, Chuanwei Ruan, Evren Korpeoglu, Sushant Kumar, Kannan Achan",Walmart Labs,Poster,https://nips.cc/virtual/2020/poster/18467
115,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion,"Qianqian Ma, Alex Olshevsky",Boston University,Poster,https://nips.cc/virtual/2020/poster/17947
116,Adversarial Distributional Training for Robust Deep Learning,"Yinpeng Dong, Zhijie Deng, Tianyu Pang, Jun Zhu, Hang Su",Tsinghua University,Poster,https://nips.cc/virtual/2020/poster/17781
117,Adversarial Example Games,"Joey Bose, Gauthier Gidel, Hugo Berard, Andre Cianflone, Pascal Vincent, Simon Lacoste-Julien, Will Hamilton",McGill University; Université de Montréal; Meta,Poster,https://nips.cc/virtual/2020/poster/18049
118,Adversarial Learning for Robust Deep Clustering,"Xu Yang, Cheng Deng, Kun Wei, Junchi Yan, Wei Liu",Xidian University; Shanghai Jiao Tong University; Tencent,Poster,https://nips.cc/virtual/2020/poster/17742
119,Adversarial Robustness of Supervised Sparse Coding,"Jeremias Sulam, Ramchandran Muthukumar, Raman Arora",Johns Hopkins University,Poster,https://nips.cc/virtual/2020/poster/17769
